Timestamp,Occupancy,Capacity
04-10-2016 07:59,61,577
04-10-2016 07:59,237,1200
04-10-2016 07:59,264,687
04-10-2016 07:59,249,485
04-10-2016 07:59,614,1920
04-10-2016 07:59,117,470
04-10-2016 07:59,178,690
04-10-2016 07:59,445,1322
04-10-2016 07:59,709,2009
04-10-2016 07:59,195,2803
04-10-2016 07:59,120,387
04-10-2016 07:59,1081,3883
04-10-2016 07:59,547,2937
04-10-2016 07:59,588,3103
04-10-2016 08:25,478,1322
04-10-2016 08:25,267,485
04-10-2016 08:25,780,2009
04-10-2016 08:25,665,2937
04-10-2016 08:25,1467,3883
04-10-2016 08:25,129,387
04-10-2016 08:25,302,687
04-10-2016 08:25,174,470
04-10-2016 08:25,678,3103
04-10-2016 08:25,269,690
04-10-2016 08:25,238,2803
04-10-2016 08:25,761,1920
04-10-2016 08:25,315,1200
04-10-2016 08:25,64,577
04-10-2016 08:59,518,1322
04-10-2016 08:59,155,387
04-10-2016 08:59,323,2803
04-10-2016 08:59,958,1920
04-10-2016 08:59,2007,3883
04-10-2016 08:59,415,690
04-10-2016 08:59,278,485
04-10-2016 08:59,269,470
04-10-2016 08:59,346,687
04-10-2016 08:59,80,577
04-10-2016 08:59,792,3103
04-10-2016 08:59,441,1200
04-10-2016 08:59,848,2937
04-10-2016 08:59,864,2009
04-10-2016 09:32,351,470
04-10-2016 09:32,204,387
04-10-2016 09:32,1036,2937
04-10-2016 09:32,590,1322
04-10-2016 09:32,530,690
04-10-2016 09:32,932,3103
04-10-2016 09:32,420,2803
04-10-2016 09:32,1004,2009
04-10-2016 09:32,107,577
04-10-2016 09:32,1121,1920
04-10-2016 09:32,2502,3883
04-10-2016 09:32,414,687
04-10-2016 09:32,552,1200
04-10-2016 09:32,302,485
04-10-2016 09:59,638,1200
04-10-2016 09:59,1254,1920
04-10-2016 09:59,657,1322
04-10-2016 09:59,397,470
04-10-2016 09:59,1052,3103
04-10-2016 09:59,476,2803
04-10-2016 09:59,236,387
04-10-2016 09:59,1142,2009
04-10-2016 09:59,1163,2937
04-10-2016 09:59,600,690
04-10-2016 09:59,327,485
04-10-2016 09:59,150,577
04-10-2016 09:59,2802,3883
04-10-2016 09:59,485,687
04-10-2016 10:26,715,1322
04-10-2016 10:26,430,470
04-10-2016 10:26,1142,3103
04-10-2016 10:26,642,690
04-10-2016 10:26,177,577
04-10-2016 10:26,1245,2009
04-10-2016 10:26,525,2803
04-10-2016 10:26,686,1200
04-10-2016 10:26,1257,2937
04-10-2016 10:26,3035,3883
04-10-2016 10:26,1324,1920
04-10-2016 10:26,530,687
04-10-2016 10:26,351,485
04-10-2016 10:26,264,387
04-10-2016 10:59,1387,1920
04-10-2016 10:59,729,1200
04-10-2016 10:59,1354,2937
04-10-2016 10:59,1210,3103
04-10-2016 10:59,3169,3883
04-10-2016 10:59,573,687
04-10-2016 10:59,675,690
04-10-2016 10:59,371,485
04-10-2016 10:59,791,1322
04-10-2016 10:59,219,577
04-10-2016 10:59,308,387
04-10-2016 10:59,574,2803
04-10-2016 10:59,458,470
04-10-2016 10:59,1364,2009
04-10-2016 11:25,1428,1920
04-10-2016 11:25,765,1200
04-10-2016 11:25,247,577
04-10-2016 11:25,820,1322
04-10-2016 11:25,1369,2937
04-10-2016 11:25,1424,2009
04-10-2016 11:25,464,470
04-10-2016 11:25,1241,3103
04-10-2016 11:25,3221,3883
04-10-2016 11:25,604,687
04-10-2016 11:25,588,2803
04-10-2016 11:25,324,387
04-10-2016 11:25,373,485
04-10-2016 11:25,672,690
04-10-2016 11:59,1288,3103
04-10-2016 11:59,3248,3883
04-10-2016 11:59,259,577
04-10-2016 11:59,1390,2937
04-10-2016 11:59,605,2803
04-10-2016 11:59,332,387
04-10-2016 11:59,1470,2009
04-10-2016 11:59,836,1322
04-10-2016 11:59,677,690
04-10-2016 11:59,1447,1920
04-10-2016 11:59,381,485
04-10-2016 11:59,771,1200
04-10-2016 11:59,634,687
04-10-2016 11:59,460,470
04-10-2016 12:29,1460,1920
04-10-2016 12:29,3251,3883
04-10-2016 12:29,266,577
04-10-2016 12:29,1397,2937
